timestamp,message,logStreamName
1763486386192,> backend@1.0.0 start,backend/backend/785ac59456b94942afa59e520a94c070
1763486386192,> nodemon app.js,backend/backend/785ac59456b94942afa59e520a94c070
1763486386485,[33m[nodemon] 2.0.22[39m,backend/backend/785ac59456b94942afa59e520a94c070
1763486386495,"[33m[nodemon] to restart at any time, enter `rs`[39m",backend/backend/785ac59456b94942afa59e520a94c070
1763486386496,[33m[nodemon] watching path(s): *.*[39m,backend/backend/785ac59456b94942afa59e520a94c070
1763486386496,"[33m[nodemon] watching extensions: js,mjs,json[39m",backend/backend/785ac59456b94942afa59e520a94c070
1763486386497,[32m[nodemon] starting `node app.js`[39m,backend/backend/785ac59456b94942afa59e520a94c070
1763486387526,"{""t"":{""$date"":""2025-11-18T17:19:47.526+00:00""},""s"":""I"",  ""c"":""-"",        ""id"":8991200, ""ctx"":""main"",""msg"":""Shuffling initializers"",""attr"":{""seed"":1282661661}}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387581,"about to fork child process, waiting until server is ready for connections.",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387585,forked process: 28,mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387586,"{""t"":{""$date"":""2025-11-18T17:19:47.586+00:00""},""s"":""I"",  ""c"":""CONTROL"",  ""id"":20698,   ""ctx"":""main"",""msg"":""***** SERVER RESTARTED *****""}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387613,"{""t"":{""$date"":""2025-11-18T17:19:47.613+00:00""},""s"":""I"",  ""c"":""CONTROL"",  ""id"":97374,   ""ctx"":""main"",""msg"":""Automatically disabling TLS 1.0 and TLS 1.1, to force-enable TLS 1.1 specify --sslDisabledProtocols 'TLS1_0'; to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'""}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387665,"{""t"":{""$date"":""2025-11-18T17:19:47.662+00:00""},""s"":""I"",  ""c"":""NETWORK"",  ""id"":4915701, ""ctx"":""main"",""msg"":""Initialized wire specification"",""attr"":{""spec"":{""incomingExternalClient"":{""minWireVersion"":0,""maxWireVersion"":27},""incomingInternalClient"":{""minWireVersion"":0,""maxWireVersion"":27},""outgoing"":{""minWireVersion"":6,""maxWireVersion"":27},""isInternalClient"":true}}}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387673,"{""t"":{""$date"":""2025-11-18T17:19:47.673+00:00""},""s"":""I"",  ""c"":""CONTROL"",  ""id"":5945603, ""ctx"":""main"",""msg"":""Multi threading initialized""}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387678,"{""t"":{""$date"":""2025-11-18T17:19:47.678+00:00""},""s"":""I"",  ""c"":""CONTROL"",  ""id"":4615611, ""ctx"":""initandlisten"",""msg"":""MongoDB starting"",""attr"":{""pid"":28,""port"":27017,""dbPath"":""/data/db"",""architecture"":""64-bit"",""host"":""ip-172-31-31-157.eu-central-1.compute.internal""}}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387679,"{""t"":{""$date"":""2025-11-18T17:19:47.679+00:00""},""s"":""I"",  ""c"":""CONTROL"",  ""id"":23403,   ""ctx"":""initandlisten"",""msg"":""Build Info"",""attr"":{""buildInfo"":{""version"":""8.2.1"",""gitVersion"":""3312bdcf28aa65f5930005e21c2cb130f648b8c3"",""openSSLVersion"":""OpenSSL 3.0.13 30 Jan 2024"",""modules"":[],""allocator"":""tcmalloc-google"",""environment"":{""distmod"":""ubuntu2404"",""distarch"":""x86_64"",""target_arch"":""x86_64""}}}}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
1763486387679,"{""t"":{""$date"":""2025-11-18T17:19:47.679+00:00""},""s"":""I"",  ""c"":""CONTROL"",  ""id"":51765,   ""ctx"":""initandlisten"",""msg"":""Operating System"",""attr"":{""os"":{""name"":""Ubuntu"",""version"":""24.04""}}}",mongodb/mongodb/785ac59456b94942afa59e520a94c070
